location,latitude,longitude,address
Bommasandra Industrial Area,12.8137512,77.6953367,"Bommasandra Industrial Estate, Bommasandra, Kittaganahalli, Anekal, Bengaluru Urban, Karnataka, India"
Anandapura,13.0239276,77.6923621,"Anandapura, T.C Palya, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Kengeri Satellite Town,12.9229728,77.4842926,"Kengeri, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Kannamangala,13.0154819,77.7631515,"Nitesh Forest Hills, Seegehalli, Kannamangala;121/122, Shigehalli, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Devarachikkanahalli,12.8931539,77.6219724,"Devarachikkanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Hulimavu,12.8773486,77.6028031,"Hulimavu, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India"
Hosa Road,12.8707029,77.6554218,"Hosa Road, Singasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India"
Attibele,12.7751249,77.7709216,"Attibele, Anekal, Bengaluru Urban, Karnataka, India"
CV Raman Nagar,12.9855509,77.668072,"HDFC Bank, Kaggadasapura Main Road, Kaggadasapura, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560093, India"
Nagavara,13.0374647,77.623602,"Nagavara, Hennur, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560045, India"
Hebbal Kempapura,13.050194,77.6075951,"Hebbal Kempapura, 11th Cross Road, Coffee Board Layout, Kempapura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560024, India"
Vijayanagar,12.9709537,77.5373851,"Vijayanagar, Chord Road, M C Layout, Dr. Vishnuvardhan Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560040, India"
KR Puram,13.007516,77.695935,"KR Puram, K.R Pura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560036, India"
Pattandur Agrahara,12.9876393,77.7377718,"Pattandur Agrahara, Whitefield Road, Belathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India"
HSR Layout,12.9116225,77.6388622,"HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India"
Kogilu,13.1067228,77.6173956,"Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, India"
Panathur,12.9351457,77.7047541,"Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, India"
Padmanabhanagar,12.9181024,77.5576638,"Padmanabhanagar Park, Kadirenahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Kammasandra,12.8607619,77.7415192,"Kammasandra, Kommasandra, Anekal, Bengaluru Urban, Karnataka, India"
Dasarahalli,13.0432607,77.5125535,"Dasarahalli, Tumkur Road, Nele Maheshwaramma Temple Ward, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560073, India"
Magadi Road,12.975608,77.5553564,"Magadi Road, K.P Agrahara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560023, India"
Koramangala,12.9357366,77.624081,"Koramangala, Sri Lakshmi Devi Ward, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India"
Dommasandra,12.8777098,77.7534769,"Dommasandra, Anekal, Bengaluru Urban, Karnataka, 562125, India"
Budigere,13.1351506,77.7471989,"Budigere, Devanahalli taluku, Bengaluru North, Karnataka, 562129, India"
Kalyan nagar,13.0221416,77.6403368,"Kalyan Nagar, Kalyanagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560043, India"
OMBR Layout,13.0082113,77.652778,"OMBR Layout, Banaswadi, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India"
Horamavu Agara,13.037817,77.6504617,"Shilpa Bakery, Horamavu Agara Road, Byrathikhane, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India"
Ambedkar Nagar,12.9798531,77.7541055,"Ambedkar Nagar, S.M Krishna Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India"
Balagere,12.9377243,77.7280705,"Balagere, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560087, India"
Jigani,12.7756195,77.6324661,"Rashi Granite Export India Pvt Ltd, 98-I, Jigani, Bengaluru, Anekal, Bengaluru Urban, Karnataka, 560105, India"
Old Madras Road,12.9834863,77.6390581,"Swamy Vivekananda Road, Binnamangala, Indiranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560038, India"
Kaggadasapura,12.9812262,77.6745845,"Kaggadasapura, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560093, India"
9th Phase JP Nagar,12.9119148,77.5798871,"JP Nagar 1st Phase, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Jakkur,13.0784743,77.6068938,"Jakkur, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, India"
TC Palaya,13.0105743,77.6932572,"TC Palaya Road, KR Puram, K.R Pura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560036, India"
AECS Layout,12.964118,77.7130369,"AECS Layout, Priyadarshini Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India"
Mallasandra,13.0548302,77.5155741,"Mallasandra, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
Begur,12.8633887,77.6130112,"Begur, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
JP Nagar,12.9096941,77.5866067,"JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
Malleshpalya,12.9744129,77.6743533,"Malleshpalya, G.M Palya, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560093, India"
